0,#,Account,Peer followers
91,91.,"Kate Kirkpatrick@philosofemmePhilosopher @PhilFacOx | Fellow @RegentsOx | Author of #BecomingBeauvoirkatekirkpatrick.co.uk7 years on TwitterRecent tweets: 15% new, 46% replies, 30% retweets, 9% quotesOn 87 user lists4,883 followers",221
92,92.,"Lauren Leydon-Hardy@leydonhardyAssistant  Professor of Philosophy at Amherst College, Social/Applied Epistemology, formerly @NUPrisonEd, Exec Producer @realDailyAnt She/Herleydonhardy.net7 years on TwitterRecent tweets: 8% new, 57% replies, 22% retweets, 13% quotesOn 13 user lists1,030 followers",221
93,93.,"Cheryl Misak@MisakCherylPhilosopher, University of Toronto.Google Scholar page3 years on TwitterRecent tweets: 20% new, 47% replies, 13% retweets, 20% quotesOn 30 user lists2,079 followers",220
94,94.,"Elizabeth Hannon@El_DritchThey  poison philosophers, don't they? /An Irish abroad /Deputy Editor @theBJPS /Research Associate @LSEPhilosophy /Tweets representA love supremebit.ly/BethHannon10 years on TwitterRecent tweets: 8% new, 57% replies, 17% retweets, 19% quotesOn 14 user lists1,169 followers",220
95,95.,"Elly Vintiadis@EllyVintiadisA  philosopher corrupting the youth at Deree - The American College of Greece as well as a treat searchin' street urchin with very strong views  about burgers.ellyvintiadis.com13 years on TwitterRecent tweets: 22% new, 67% replies, 2% retweets, 10% quotesOn 30 user lists2,154 followers",218
96,96.,"Giada Fratantonio@GiadaFra_tantoPhilosopher  at @UoE_Philosophy. Interested in whatever deals with evidence. Postdoc  at @ahrcpress Varieties of Risk Project @VarietiesP. She/herIn between Italy and Scotlandgiada-fratantonio.weebly.comGoogle Scholar page8 years on TwitterRecent tweets: 10% new, 67% replies, 12% retweets, 12% quotesOn 33 user lists1,662 followers",218
97,97.,"Becky Morris@beckyphilmathScience  & tech writer. Former academic philosopher. Ph.D. @CarnegieMellon. Passions: math, philosophy, education, tech, cute critters. Parent. She/they.Roseville, MNrebeccaleamorris.com7 years on TwitterRecent tweets: 12% new, 21% replies, 54% retweets, 13% quotesOn 27 user lists1,601 followers",218
98,98.,"Simone Webb@SimoneWebbUCLrecent PhD in Mary Astell and the late Foucault. Philosopher Queens contributor. founder of The Philosophy Project (thephilosophyproject.co.uk)they/themsimonewebb.co.uk5 years on TwitterRecent tweets: 27% new, 65% replies, 7% retweets, 0% quotesOn 44 user lists3,942 followers",217
99,99.,"Kristina Musholt 🇺🇦@kristinamusholtPhilosophy Prof @UniLeipzig. Author of 'Thinking about Oneself' w/ MIT Press. Researches #mind #self #childhood. 🇺🇦Berlinkristinamusholt.comGoogle Scholar page11 years on TwitterRecent tweets: 2% new, 16% replies, 78% retweets, 4% quotesOn 56 user lists1,767 followers",217
100,100.,"Dr. Lynne Tirrell@LynneTirrell#Philosopher at #UConn (UConn Humanities Institute 2018-19), Language & Politics, Genocide, Human Rights, Feminism, ArtConnecticut, USAlynne-tirrell.uconn.eduGoogle Scholar page10 years on TwitterRecent tweets: 26% new, 48% replies, 13% retweets, 13% quotesOn 31 user lists1,687 followers",217
101,101.,"Ema Sullivan-Bissett@Ema_SBReader in Philosophy @PTRBirmingham @unibirmingham. PI on AHRC @del_by_ex project and British Academy @Cons_Path project.Birminghamemasullivan-bissett.comGoogle Scholar page12 years on TwitterRecent tweets: 5% new, 65% replies, 9% retweets, 20% quotesOn 30 user lists1,505 followers",217
102,102.,"Rochelle d@rochellehdjust  like the other continentals, critical theory, political phil, wrote Solidarity in Conflict for stanford up, have three cats, and like to post my bakes.Tweets my ownRhduford.wordpress.com10 years on TwitterRecent tweets: 12% new, 74% replies, 0% retweets, 15% quotesOn 33 user lists4,924 followers",216
103,103.,"Megan Fritts@freganmittsAsst  Prof of Philosophy at the College of St. Scholastica. Action Theory, Tech Ethics, 19th/20th C. Phil. Cropped out of @frankviii’s profile picture.Duluth, Minnesotasites.google.com/view/meganjfri…4 years on TwitterRecent tweets: 8% new, 85% replies, 3% retweets, 4% quotesOn 42 user lists3,162 followers",216
104,104.,"carlotta pavese@cpavese19Philosopher at CornellGoogle Scholar page6 years on TwitterRecent tweets: 34% new, 48% replies, 15% retweets, 3% quotesOn 14 user lists1,340 followers",216
105,105.,"Anna Ciaunica@AnnaCiaunicaPhilosopher/Cognitive  scientist |PI working on Self-Consciousness & Social Interactions in Human & Artificial Agents | Embodiment |AI|Art&Science| RT≠endorsEurope5 years on TwitterRecent tweets: 12% new, 29% replies, 56% retweets, 3% quotesOn 80 user lists6,700 followers",215
106,106.,"Alessandra Tanesini@Ale1808is Professor of Philosophy at Cardiff University, a wine buff, a gourmet and a sailorCardiff13 years on TwitterRecent tweets: 6% new, 35% replies, 39% retweets, 20% quotesOn 31 user lists1,425 followers",215
107,107.,"Morgan Thompson@MorganKThompPhilosopher  of science. Post-doc at Bielefeld University. Works on values in science, demographics of philosophy, robustness in science. She/her.Google Scholar page4 years on TwitterRecent tweets: 16% new, 48% replies, 31% retweets, 5% quotesOn 23 user lists1,097 followers",215
108,108.,"Julia Driver@jdriver350Professor of Philosophy, The University of Texas at Austin and CEPPA, St. AndrewsAustin, TX7 years on TwitterRecent tweets: 6% new, 29% replies, 62% retweets, 3% quotesOn 19 user lists1,090 followers",213
109,109.,"Kathleen Stock@DocstockkNewsletter: kathleenstock.substack.com Column: @Unherd Agent: @littlehardman 📷 J. WoodwardThereamazon.co.uk/Material-Girls…6 years on TwitterRecent tweets: 6% new, 31% replies, 51% retweets, 12% quotesOn 373 user lists85,543 followers",212
110,110.,"Big PhD Energy (aka No Energy)@sabrina_p_leeds(they/them) First Gen Philosophy PhD Student @Georgetown, Managing Editor @JPhilDisWashington, DCetsy.com/nz/shop/SLPhot…1 year on TwitterRecent tweets: 10% new, 78% replies, 7% retweets, 6% quotesOn 18 user lists3,131 followers",210
111,111.,"Dr. Leigh M. Johnson@DrLeighMJohnsonPhilosophy  prof and Memphian. Tweeting abt philosophy, AI, politics, ethics, tech,  & pop culture. Host of @BMR_podcast and co-host of @hotelbarpodcast.Memphis, TNhotelbarpodcast.com11 years on TwitterRecent tweets: 55% new, 11% replies, 26% retweets, 8% quotesOn 127 user lists2,348 followers",207
112,112.,"Manon Garcia@ManonGarciaFRPhilosophe  féministe 🇫🇷🇺🇸 @Yale soon at @FU_Berlin; We Are Not Born Submissive  and La Conversation des sexes; no DMs email me pleaseCambridge, MAmanon-garcia.com3 years on TwitterRecent tweets: 8% new, 78% replies, 11% retweets, 4% quotesOn 108 user lists18,119 followers",206
113,113.,"Karina Vold@karinavoldPhilosopher  of science & technology, Cog Sci & AI. Asst Prof @UofT_IHPST. Fellow @TorontoSRI @UofTethics @LeverhulmeCFI @VicCollege_UofT 🇨🇦🇲🇽🇳🇴🇺🇸Toronto, Ontariokkvd.comGoogle Scholar page6 years on TwitterRecent tweets: 14% new, 23% replies, 53% retweets, 10% quotesOn 81 user lists3,453 followers",205
114,114.,"Alice Murphy@alicemurphsPostdoctoral fellow @LMU_MCMP working on philosophy of science, aesthetics & imagination. She/herGoogle Scholar page7 years on TwitterRecent tweets: 8% new, 24% replies, 63% retweets, 5% quotesOn 25 user lists1,512 followers",205
115,115.,"Angie Hobbs@drangiehobbsProfessor of the Public Understanding of PhilosophyUniversity of Sheffieldangiehobbs.com12 years on TwitterRecent tweets: 10% new, 7% replies, 76% retweets, 7% quotesOn 255 user lists6,419 followers",204
116,116.,"Lauren Slater@laurenamslaterPhD-ing  @BBKPhilosophy: Descartes, Perception, & Early Modern Theories of Language. BSHP Fellow. Web editor at @aristotweets. Proud parent of @CircleCartesian.London, Englandlondoncartesiancircle.com6 years on TwitterRecent tweets: 18% new, 71% replies, 6% retweets, 6% quotesOn 27 user lists1,593 followers",204
117,117.,"Yolonda with an ""o"" in the middle@ProfYolonda#Philosopher  #Bioethics #SocAndPolitφ #RaceTheory #Feministφ @NatlHumanities and @EncoreOrg Public Voices fellow. ORCID iD: 0000-0003-2825-0354. She/herSaint Louis, MOyolondawilson.comGoogle Scholar page8 years on TwitterRecent tweets: 3% new, 10% replies, 84% retweets, 4% quotesOn 51 user lists3,463 followers",203
118,118.,"Alisa Bokulich@AlisaBokulichProfessor  @ Boston Univ, History & Philosophy of Science—especially Philosophy of Geosciences, Director @BUCPHS, 2020-21 @Harvard @RadInstitute Fellow. Settler.Boston, Massa-adchu-es-et landbokulich.orgGoogle Scholar pageUnder 1 year on TwitterRecent tweets: 34% new, 29% replies, 24% retweets, 13% quotesOn 16 user lists1,724 followers",203
119,119.,"Alison Gopnik@AlisonGopnikCognitive  scientist, psychologist, philosopher, author of Scientist in the Crib, Philosophical Baby, The Gardener & The Carpenter, WSJ Mind And Matter columnistBerkeleyalisongopnik.comGoogle Scholar page10 years on TwitterRecent tweets: 18% new, 3% replies, 64% retweets, 16% quotesOn 372 user lists14,908 followers",201
120,120.,"dr. Lily frank@Lilyfrank16Asst.  Prof Eindhoven Uni of Technology, philosopher/bioethicist, tech, reproduction, persuasive tech, sex tech, health, AI/robots, feminism she/herThe Netherlandssites.google.com/view/lilyevafr…Google Scholar page5 years on TwitterRecent tweets: 9% new, 36% replies, 54% retweets, 1% quotesOn 24 user lists1,955 followers",201
121,121.,"Annette Zimmermann@DrZimmermannPolitical  philosopher. Fellow @harvard @CarrCenter & faculty @UoYPhilosophy. Past: @Princeton @UniofOxford. Writing a 📚 titled 'The Algorithmic is Political'.York, UK / Cambridge, MAannette-zimmermann.comGoogle Scholar page3 years on TwitterRecent tweets: 8% new, 42% replies, 31% retweets, 20% quotesOn 78 user lists3,931 followers",199
122,122.,"Brit Brogaard@BritHereNowAuthor  of The Superhuman Mind (Penguin), On Romantic Love (Oxford University Press), Hatred: Understanding Our Most Dangerous Emotion, (Oxford University Press.University of Miamisites.google.com/site/brogaardb/Google Scholar page12 years on TwitterRecent tweets: 97% new, 1% replies, 1% retweets, 0% quotesOn 168 user lists2,523 followers",199
123,123.,"Mary Margaret McCabe@mmmccabe1Ancient philosopher (on either construal).philosophyinprison.com7 years on TwitterRecent tweets: 2% new, 56% replies, 41% retweets, 1% quotesOn 30 user lists1,983 followers",198
124,124.,"Rebecca Scott@philoso_pandaAssistant Professor of Philosophy; unabashed pedagogy enthusiast; proud community college teacher. (she/her)4 years on TwitterRecent tweets: 39% new, 53% replies, 3% retweets, 4% quotesOn 20 user lists1,115 followers",196
125,125.,"Tania Lombrozo@TaniaLombrozoWrites about cognitive science and philosophy. Professes psychology at Princeton University. Devours chocolate and fiction.Princeton, NJcognition.princeton.edu9 years on TwitterRecent tweets: 16% new, 21% replies, 41% retweets, 22% quotesOn 345 user lists10,606 followers",194
126,126.,"Zena Hitz@zenahitzTutor @stjohnscollege. Author, LOST IN THOUGHT. Speaker @thomisticinst and tinyurl.com/9vr7pjv5 . Foundress @CatherineProjzenahitz.net2 years on TwitterRecent tweets: 1% new, 69% replies, 23% retweets, 8% quotesOn 124 user lists9,744 followers",194
127,127.,"venus infers 🪰@nologos_im trying to get as far away from myself as i can. phd student in philosophy; working on humor and authority.way down at the bottom3 years on TwitterRecent tweets: 34% new, 50% replies, 11% retweets, 4% quotesOn 30 user lists4,373 followers",194
128,128.,"Antonella Mallozzi@giocalagiocalaAssistant Professor of Philosophy, Providence College. CUNY PhD. Epistemology, metaphysics, philosophy of science.New York, NYantonellamallozzi.com5 years on TwitterRecent tweets: 13% new, 36% replies, 50% retweets, 1% quotesOn 42 user lists2,253 followers",194
129,129.,"Vanessa Wills@vcwillsMoral, Social, and Political Philosopher at George Washington U. Member of @JournalSpectre editorial collective. (she/her)Washington, DCvanessawills.com13 years on TwitterRecent tweets: 6% new, 68% replies, 19% retweets, 7% quotesOn 37 user lists3,556 followers",189
130,130.,"Helga Varden 🇺🇦@HelgaVardenphilosopher.  and author of “Sex, Love, and Gender: A Kantian Theory” (OUP, 2020). and I really like photography. and, yes, my own/views i find noteworthy here.helgavarden.com2 years on TwitterRecent tweets: 52% new, 35% replies, 13% retweets, 1% quotesOn 15 user lists2,186 followers",188
131,131.,"SJ Brison@SusanBrisonProf.  of Philosophy at Dartmouth; Visiting Prof. at Princeton 2021-22. Author: Aftermath; Co-editor: Free Speech in the Digital Age. She/her and/or they/them.Hanover, NH and Princeton, NJsusanbrison.comGoogle Scholar page10 years on TwitterRecent tweets: 13% new, 68% replies, 14% retweets, 5% quotesOn 30 user lists1,928 followers",188
132,132.,"Susanne Bobzien@Susanne_BobzienPhilosopher.  Prof.of Philosophy @UniofOxford. Author. Research: vagueness, paradoxes, hist.of logic, ancient theories of determinism freedom responsibility.BlackLivesMatter, Viewsmyown asc.ox.ac.uk/person/profess…Google Scholar page6 years on TwitterRecent tweets: 9% new, 89% replies, 0% retweets, 2% quotesOn 22 user lists1,777 followers",188
133,133.,"Eleanor Gordon-Smith@TheRealEGSOtter  enthusiast. Stuff on radio. Philosophy PhD @ Princeton. Producer/presenter @ Little Bad Thing. wrote Stop Being Reasonable. Advice column at @Guardianaus.Sydney / New Yorkeleanorgordonsmith.com12 years on TwitterRecent tweets: 43% new, 37% replies, 12% retweets, 9% quotesOn 79 user lists6,647 followers",186
134,134.,"casey 🖤@caseygrippsphilosophy phd student at boston university Ⓐthey/she4 years on TwitterRecent tweets: 15% new, 66% replies, 14% retweets, 5% quotesOn 26 user lists3,466 followers",183
135,135.,"Sandy Grant@TheSandyGrantThe Cambridge philosopher Sandy Grant. Existentialist. Gigs include @LatitudeFest patreon.com/theexistential…4 years on Twitter until last tweet (2020-May-12)Recent tweets: 26% new, 13% replies, 58% retweets, 4% quotesOn 131 user lists5,376 followers",182
136,136.,"Hilda Hernández@hildherloPhD Student. Philosophy of Cognitive Science and Neuroscience. Brain🧠 fan and papers dealer. Tweets: ENG/SPA.Méxicounam.academia.edu/HildaHernández12 years on TwitterRecent tweets: 18% new, 38% replies, 33% retweets, 11% quotesOn 80 user lists4,523 followers",181
137,137.,"Debbie Roberts@djr113Philosophy, University of EdinburghEdinburgh11 years on TwitterRecent tweets: 15% new, 34% replies, 49% retweets, 2% quotesOn 35 user lists1,502 followers",181
138,138.,"Meena Krishnamurthy@mkrishnamurthyXPhilosophy Prof at Queen’s, writing a book on MLK's political philosophy of the emotions.Kingston, Ontario, Canadalinktr.ee/MeenaKrishnamu…1 year on TwitterRecent tweets: 15% new, 47% replies, 27% retweets, 10% quotesOn 13 user lists1,252 followers",181
139,139.,"Patricia Marino@p_a_marinoPhilosophy prof @UWaterloo. Philosophy of economics and math, ethics, epistemology (she/her, they/them).Toronto, ONpatriciamarino.orgGoogle Scholar page8 years on TwitterRecent tweets: 27% new, 35% replies, 34% retweets, 5% quotesOn 43 user lists1,427 followers",180
140,140.,"Vlasta Sikimic@VlastaSikimicResearch  Fellow at @ml4science (University of Tübingen) working on Philosophy of  Science, Phil. of AI, and Logic. Steering Committee member @EastEurpnPhlSci.vlastasikimic.comGoogle Scholar page4 years on TwitterRecent tweets: 33% new, 14% replies, 35% retweets, 18% quotesOn 17 user lists1,397 followers",180
141,141.,"Sanjana Rajagopal 🕊@SanjanaWrites25. ABD Philosophy PhD student @fordhamnyc. Tweeting Arendt, theology, photography & my life in NY.New Yorksanjanarajagopal.com5 years on TwitterRecent tweets: 27% new, 44% replies, 26% retweets, 3% quotesOn 24 user lists1,996 followers",179
142,142.,"Juliana de Albuquerque@the_stardustColumnist  at Folha de S. Paulo, @folha | German Studies & Philosophy, @UCC | Jewish Studies, @labopucsp | Podcast: @AEletivas | IG: thestardust | EN/PTCork, Irelandwww1.folha.uol.com.br/colunas/julian…13 years on TwitterRecent tweets: 26% new, 31% replies, 34% retweets, 8% quotesOn 150 user lists8,745 followers",178
143,143.,"Fiona Woollard@f_woollardMoral  philosopher at Southampton Uni with special interests in the DoctrineofDoing &Allowing & phil of pregnancy and motherhood. Tweet in personal cap. she/herfionawoollard.weebly.comGoogle Scholar page8 years on TwitterRecent tweets: 23% new, 37% replies, 33% retweets, 6% quotesOn 32 user lists1,308 followers",178
144,144.,"Allison Barnes@AllisonBarnes8philosophy, philosophy of psychology, history of psychology, mental representation, mental state ascription, deixis, indexicals.Victoria, British Columbia10 years on TwitterRecent tweets: 13% new, 15% replies, 71% retweets, 1% quotesOn 39 user lists1,560 followers",177
145,145.,"Eli Shupe@ebshupeAssistant  Professor of Philosophy and Co-director of Medical Humanities and Bioethics @utarlington. Birder & puzzler in my spare time. 🐦📝Highland Park, NJelishupe.com4 years on TwitterRecent tweets: 31% new, 49% replies, 19% retweets, 1% quotesOn 20 user lists1,356 followers",177
146,146.,"Serene Khader@SereneKhaderTrying to figure out whether philosophy is the problem Author of Decolonizing Universalism and Adaptive Preferences and Women's Empowerment. CUNY Professor.serenekhader.com8 years on TwitterRecent tweets: 13% new, 45% replies, 33% retweets, 9% quotesOn 23 user lists1,314 followers",177
147,147.,"B.@ms_brizzleA  terrifying spectre with curls from the heavens. Assistant Professor of Philosophy at CMC. Founder & Director of Corrupt the Youth (@cty_org). (she/her)Claremont, CAbrianatoole.comGoogle Scholar page7 years on TwitterRecent tweets: 24% new, 32% replies, 27% retweets, 16% quotesOn 10 user lists1,032 followers",176
148,148.,"Milena Ivanova 💙💛@milena_ivanova_Philosopher of Science @FitzwilliamColl @Cambridge_Uni Books: Duhem and Holism Aesthetics of Science: Beauty, Imagination and Understanding Erdös number: 4milenaivanova.co.ukGoogle Scholar page6 years on TwitterRecent tweets: 16% new, 64% replies, 11% retweets, 10% quotesOn 29 user lists1,247 followers",174
149,149.,"Prof Rachel A. Ankeny@ankeny_rachelPhilosopher/historian,  exploring biology, biomed sci, bioethics, non-human animals, food ethics, & more, @ISHPSSB president, devoted mum, she/herAdelaide SA (Kaurna land)researchers.adelaide.edu.au/profile/rachel…Google Scholar page3 years on TwitterRecent tweets: 7% new, 31% replies, 31% retweets, 31% quotesOn 35 user lists2,625 followers",173
150,150.,"Céline Leboeuf@philo_celineAssistant  Professor of Philosophy @FIU | Harvard Ph.D. '16, B.A. '07. I write about #feminism, #bodypositivity, and #SimonedeBeauvoir. All opinions are my own.Miami, FLccleboeuf.com3 years on TwitterRecent tweets: 15% new, 73% replies, 12% retweets, 0% quotesOn 15 user lists1,337 followers",173
151,151.,"bella-rose💙@bellarose__kphilosophy phd student | decolonial feminism and trans philosophy; philosophy of disability; microaggression | she/they |Milwaukee, WIbella-rosekelly.weebly.com7 years on TwitterRecent tweets: 14% new, 72% replies, 11% retweets, 2% quotesOn 12 user lists2,463 followers",172
152,152.,"Rachael Brown@RachaelBrown42Philosopher  of Science. Director of Centre for Philosophy of the Sciences + Lecturer at ANU. Associate Editor at Biology & Philosophy. thephilscigirl.netWatson, ACTrachaelbrown.netGoogle Scholar page11 years on TwitterRecent tweets: 21% new, 43% replies, 31% retweets, 4% quotesOn 19 user lists1,436 followers",172
153,153.,"Kathy Puddifoot@KathyPuddifootPhilosopher, author of 'How Stereotypes Deceive Us' (OUP 2021), mum of two little darlingskathypuddifoot.wordpress.com8 years on TwitterRecent tweets: 6% new, 5% replies, 89% retweets, 1% quotesOn 28 user lists1,271 followers",171
154,154.,"Oksana Ferents@ArfaOksanaPhD in Philosophy, Dissertation: The Concept Other in Contemporary Philosophical ReflectionUkraine, Lviv9 years on TwitterRecent tweets: 30% new, 2% replies, 41% retweets, 27% quotesOn 22 user lists1,199 followers",170
155,155.,"Dr. Jess Adkins 🪗@JesusMinusUphilosophy  PhD and instructional designer. likes dead bodies, anatomical displays,  bioethics, feminism, aesthetics, medical humanities & accordions. She/her.St Louis, MOjessicaadkins.xyzGoogle Scholar page12 years on TwitterRecent tweets: 30% new, 51% replies, 13% retweets, 7% quotesOn 23 user lists1,037 followers",170
156,156.,"Tamsin Shaw@ProfessorShawNYU, formerly Princeton Politics Dept, Institute for Advanced Study, King's College Cambridge. Words in NYRB, NYT, Just SecurityNew Yorktamsinshaw.com4 years on TwitterRecent tweets: 4% new, 77% replies, 11% retweets, 10% quotesOn 148 user lists12,844 followers",169
157,157.,"M.M.Townsend@chezaristotePlato and Aristotle are both right. Assistant Professor of Philosophy, St. John's University, Queens, NY; book, The Woman Question in Plato's Republic, 2017New York, NYchezaristote.net13 years on TwitterRecent tweets: 33% new, 57% replies, 5% retweets, 5% quotesOn 48 user lists3,081 followers",169
158,158.,"Xin Hui is under-educated and over-loved@thyacinththey/she | Philo PhD #ADHD manic pixie bruh girl studying models & bot(tle)s | go @pittgrads | apply! wonderphilosophy.comalt @voidposts12 years on TwitterRecent tweets: 17% new, 71% replies, 9% retweets, 4% quotesOn 17 user lists2,512 followers",169
159,159.,"Nancy McHugh@NancyAMcHughExecutive  director of the Fitz Center for Leadership in Community; public philosopher; feminist; author of ”The Limits of Knowledge” @SUNYPressOhio, USAnancyamchugh.org8 years on TwitterRecent tweets: 60% new, 11% replies, 27% retweets, 3% quotesOn 20 user lists1,393 followers",169
160,160.,"Monica Gonzalez🌻☀️@MoniGlezRiedelPhilosopher.  Graduate Student @SDSU. Nietzsche. Foucault. Pedagogy. Classical Technologies of the Self| Damaris🐶| Apollo🐠| Strong Enough⚡️La Jolla, CA5 years on TwitterRecent tweets: 26% new, 7% replies, 67% retweets, 0% quotesOn 10 user lists1,301 followers",169
161,161.,"Nicole Wyatt, PhD@nwyatt✍️  philosopher writing about logic, speech acts, and robot sex. department  head at @UofCPhilosophy. Priestess of Pluralisms. she/her. #epileptic. #adhd.Moh’kín’tsis - Calgary, Canadanicolewyatt.netGoogle Scholar page13 years on TwitterRecent tweets: 4% new, 16% replies, 78% retweets, 3% quotesOn 59 user lists1,686 followers",168
162,162.,"5ASkia@hippocampaI  am a moral philosopher & eternal student. I like cats. Chocolate is  the key to world peace. Surely, my microbes are making my brain making me do all this.Gouda, Nederlandhippocampa.wordpress.com12 years on TwitterRecent tweets: 38% new, 31% replies, 30% retweets, 1% quotesOn 146 user lists1,666 followers",167
163,163.,"Dr. Esa Díaz León@ediazleonAssociate Professor at the University of Barcelona. Interested in philosophy, feminism, film studies, and LGBT issues. She/theyBarcelona, Spainesadiazleon.googlepages.com/homeGoogle Scholar page15 years on TwitterRecent tweets: 16% new, 9% replies, 73% retweets, 0% quotesOn 35 user lists1,027 followers",166
164,164.,"Cathy B 🌻@cathybyPhilosophy, politics, ethics, sci-fi, science. What did you *think* was going to happen?Ireland12 years on TwitterRecent tweets: 0% new, 90% replies, 7% retweets, 3% quotesOn 169 user lists4,366 followers",165
165,165.,"Tertia Gillett@tertiagillettPhilosophy PhD student. I like books, jokes, the outdoors, and speculative fiction. she/herPhiladelphia, PA4 years on TwitterRecent tweets: 33% new, 49% replies, 17% retweets, 1% quotesOn 23 user lists1,678 followers",165
166,166.,"love&peace, heidi@theheidifeedPhilosopher. Writer. Becker Fellow. Tea. SOPHIA. It's never too late to do the right thing. @SOPHIAchirp @RoanokeSOPHIA @Phil4Sustain #MFA she/hersVirginia, USAheidichronicles.net11 years on TwitterRecent tweets: 16% new, 57% replies, 4% retweets, 22% quotesOn 20 user lists1,511 followers",163
167,167.,"Kristin Andrews@KristinAndrewzPhilosophyProf.  animal minds, sociality, culture @YorkU.🐀 🦧🐬 🐶 she/her. mom of a teen. pup. sci-fi fan. yoga. walker. mudlark. sabbaticaling in LondonToronto, Ontariokristinandrews.orgGoogle Scholar page9 years on TwitterRecent tweets: 13% new, 58% replies, 16% retweets, 14% quotesOn 27 user lists1,825 followers",162
168,168.,"Katie Kendig@KatieKendigPhilosophy  & history of science esp. classification•biotech-esp. #synbio•Associate Professor @michiganstateu•Associate Editor @HPLSjournal•runner•gastronautEast Lansing, MI; Hannover, DEphilosophy.msu.edu/people/faculty…Google Scholar page10 years on TwitterRecent tweets: 37% new, 31% replies, 19% retweets, 13% quotesOn 39 user lists1,285 followers",162
169,169.,"Dana Howard@thedanahowardphilosopher  & bioethicist | Assistant Prof @OhioStateMed | Editor, Stanford Encyclopedia of Philosophy | @NIHbioethics alum | views are my own | she/hersites.google.com/site/danasarah…Google Scholar page8 years on TwitterRecent tweets: 2% new, 18% replies, 72% retweets, 8% quotesOn 21 user lists1,109 followers",161
170,170.,"Jack Stockdale@_JAStockdalePhilosopher of medicine and science @SussexPhilos and @BSMSMedSchool. #PlanetaryHealth #HealthDataPrivacyBrighton, UKbsms.ac.uk/about/contact-…Google Scholar page12 years on TwitterRecent tweets: 14% new, 64% replies, 10% retweets, 12% quotesOn 28 user lists1,190 followers",160
171,171.,"Grace Cebrero@GraceNonToxicDisabled  philosopher PhDying. MAP #CripPhil she/they Black Lives Matter. BEING-DISABLED ⊭ BAD MORAL CHARACTER. Oxford Conf #PhiDisSocCh2 #StopEpistemicAbleism8 years on TwitterRecent tweets: 2% new, 13% replies, 85% retweets, 1% quotesOn 25 user lists1,534 followers",159
172,172.,"Hannah B is trying to write@bathelinaShe/they.  Philosophy PhD candidate, University of Manchester. Ecological justice,  animal & enviro ethics. Peak District resident. Outdoorsy. Cat lady. Gamer.Londoner in the Peak District10 years on TwitterRecent tweets: 26% new, 49% replies, 24% retweets, 1% quotesOn 42 user lists2,444 followers",158
173,173.,"Lauren N. Ross@ProfLaurenRossPhilosopher of Science, MD, PhD. Associate Professor, Logic and Philosophy of Science, UC Irvine.Irvine, CAlps.uci.edu/~rossl/Google Scholar pageUnder 1 year on TwitterRecent tweets: 10% new, 61% replies, 18% retweets, 11% quotesOn 30 user lists2,203 followers",157
174,174.,"Amy Kind@amykindPhilosopher. Claremont McKenna College.Claremont, CAGoogle Scholar page13 years on TwitterRecent tweets: 16% new, 38% replies, 17% retweets, 29% quotesOn 19 user lists1,032 followers",157
175,175.,"Amy Reed-Sandoval@AmyReedSandovalPhilosophy  prof @UNLV and writer. Author: Socially Undocumented: Identity and Immigration Justice (OUP, 2020). Fulbright Scholar 2022-2033 in Hildalgo, Mexico.Las Vegas, Nevadaamyreedsandoval.comGoogle Scholar page5 years on TwitterRecent tweets: 12% new, 15% replies, 67% retweets, 6% quotesOn 20 user lists1,340 followers",156
176,176.,"Ingrid Robeyns@IngridRobeynsPhilosopher/economist  | Prof Ethics of Institutions UU | Public values (social justice, sustainability, quality of life); valuable economies, caring societies.Utrechtingridrobeyns.infoGoogle Scholar page11 years on TwitterRecent tweets: 12% new, 64% replies, 12% retweets, 12% quotesOn 118 user lists6,290 followers",155
177,177.,"Catherine French@cantabcatherineFormer graduate student at University of Cambridge. Tweets devoted to #philosophy - M&E, political, meta, and #Wittgenstein.Toronto, Canada8 years on Twitter until last tweet (2020-May-09)Recent tweets: 30% new, 26% replies, 44% retweets, 0% quotesOn 70 user lists1,588 followers",153
178,178.,"Robin James@doctajWriter,  editor. Theorizing #vibes, writing a book about WOXY. Words: Jezebel, Real Life, Guardian, etc. she/her. no views, just vibes.Windsor CT its-her-factory.com14 years on TwitterRecent tweets: 28% new, 43% replies, 12% retweets, 17% quotesOn 226 user lists10,174 followers",152
179,179.,"Sophie@SophieFernierPhilosopher,  poet. Interested in language and baby animals. Available in English/Français/Русский. Newsletter: https://t.co/USSTOpvJes 💝♻️📚🐈Montréal, Québecmedium.com/@sophiefernier5 years on TwitterRecent tweets: 8% new, 15% replies, 76% retweets, 2% quotesOn 19 user lists1,701 followers",152
180,180.,"Liv 🔥@livcoombesphilosophy phd student. mainly; dnd, football, veganism, cats, thoughts, feelings and (un)professional tweets 🧝🏻‍♀️🤙🏼💚3 years on TwitterRecent tweets: 46% new, 41% replies, 11% retweets, 2% quotesOn 14 user lists1,355 followers",152
181,181.,"Susana Monsó@Susana_MonsOAssistant professor at @LHFC_UNED working on animal ethics and philosophy of animal minds. She/her. Autora de LA ZARIGÜEYA DE SCHRÖDINGER (edita @plazayvaldes)Madridsusanamonso.comGoogle Scholar page2 years on TwitterRecent tweets: 8% new, 64% replies, 21% retweets, 6% quotesOn 35 user lists2,829 followers",151
