0,#,Account,Peer followers
208,208.,"William Paris@WilliamMParisPhilosopher in search of black utopia. Assistant Professor of Philosophy @UofT He/Him Co-host @leftofphilToronto, Ontariowilliammparis.comPatron opportunity2 years on TwitterRecent tweets: 10% new, 22% replies, 60% retweets, 8% quotesOn 35 user lists5,679 followers",247
209,209.,"Fleur Jongepier@fleurjongepierAll-round  philosopher @Radboud_Uni bringing creativity & sentimentality back into philosophy one essay at a time ➖ NWO Veni ➖ co-chair @RadboudYA➖ NL/ENG ➖📷⛰🧗☜fleurjongepier.nl8 years on TwitterRecent tweets: 12% new, 65% replies, 9% retweets, 14% quotesOn 77 user lists4,228 followers",247
210,210.,"Hannah Kim@thisishannahkimPhilosophy  prof @Macalester / Executive Editor, SEP / words in @LAtimes @Catapultstory @PublicSeminar @StanfordDaily + / nature of fiction, arts, 🇰🇷🇰🇵hannahkimphilosophy.comUnder 1 year on TwitterRecent tweets: 16% new, 51% replies, 27% retweets, 7% quotesOn 23 user lists2,133 followers",246
211,211.,"Robin McKenna@rbnmckenna86Scottish philosophy lecturer @LiverpoolPhilos. Editor of @PhilosL. Father of 2. Early morning runner. Type 1 diabetic.Liverpool, Englandrobinmckenna.weebly.comGoogle Scholar page1 year on TwitterRecent tweets: 8% new, 60% replies, 27% retweets, 4% quotesOn 16 user lists1,510 followers",246
212,212.,"Gregory B. Sadler - get your shots!@philosopher70YouTube  philosophy guy | editor Stoicism Today | co-host Wisdom For Life show |  host Sadler's Lectures podcast | teaches at MIAD | I get to be salty here!Milwaukee, WIreasonio.wordpress.comGoogle Scholar pageVideo channelPatreon page12 years on TwitterRecent tweets: 18% new, 72% replies, 3% retweets, 6% quotesOn 196 user lists9,698 followers",245
213,213.,"Evan Thompson@evantthompsonPhilosopher,  writer, Prof @UBCPhilosophy. Author of MIND IN LIFE (2007); WAKING, DREAMING, BEING (2015); WHY I AM NOT A BUDDHIST (2020). Married to @beckettoddVancouverevanthompson.me7 years on TwitterRecent tweets: 26% new, 47% replies, 19% retweets, 7% quotesOn 169 user lists7,849 followers",243
214,214.,"Tommie Shelby@tommie_shelbyPhilosopher  and Africana studies scholar who writes about racial justice, economic justice, criminal justice, black political thought, and hip hop.Cambridge, MA, USAtommieshelby.comGoogle Scholar page11 years on TwitterRecent tweets: 9% new, 52% replies, 29% retweets, 11% quotesOn 102 user lists5,256 followers",243
215,215.,"Steven Strike! Strike!! Strike!!! French@StevenFrench4Writing  various bits of guff - some of which can be found at eastoftheweb, 365Tomorrows, Liquid Imagination, Idle Ink & Literally Stories (among others)9 years on TwitterRecent tweets: 10% new, 22% replies, 67% retweets, 1% quotesOn 84 user lists2,035 followers",243
216,216.,"Alan Richardson@arichardson_phiProfessor  in @UBCPhilosophy; President of @cshpsnews; President of @FacultyUbc; Co-Director of @StsUbc. This is my private account; all opinions my own.Vancouver, BC7 years on TwitterRecent tweets: 18% new, 24% replies, 27% retweets, 30% quotesOn 70 user lists3,524 followers",242
217,217.,"Lucy O'Brien@LucyFOBrienPhilosopher at UCL.LondonGoogle Scholar page13 years on TwitterRecent tweets: 6% new, 39% replies, 51% retweets, 4% quotesOn 36 user lists1,567 followers",242
218,218.,"Embrace the Void Pod@ETVPodA philosophy podcast for surviving the worst of all possible timelines. Hosted by Aaron Rabinowitz patreon.com/EmbraceTheVoid Sibling Show: @0gPhilosophyThe Voidvoidpod.com5 years on TwitterRecent tweets: 5% new, 83% replies, 1% retweets, 12% quotesOn 83 user lists9,461 followers",241
219,219.,"Peter Godfrey-Smith@pgodfreysmithPhilosopher, writer, diver. Author of 'Other Minds' (2016), 'Metazoa' (2020), 'Theory & Reality' (new edition 2021). HPS, University of Sydney. Views my own.petergodfreysmith.comGoogle Scholar page1 year on TwitterRecent tweets: 16% new, 69% replies, 6% retweets, 8% quotesOn 67 user lists4,678 followers",241
220,220.,"Jaime Valentine@bioethicsbarbieResearch Ethics & Equity. History of Human Subjects Research. thoughts are (unfortunately) mine. she/her #BLMSt Louis, MO10 years on TwitterRecent tweets: 27% new, 36% replies, 33% retweets, 4% quotesOn 27 user lists4,119 followers",240
221,221.,"Simon Glendinning@lonangloHead of the European Institute and Professor of European Philosophy at LSELondon, Englandwww2.lse.ac.uk/europeanInstit…10 years on TwitterRecent tweets: 13% new, 39% replies, 41% retweets, 7% quotesOn 74 user lists3,765 followers",240
222,222.,"John Schwenkler@johnschwenklerProfessor of Philosophy. Dad to 8. Books (is.gd/jqdUMo): Anscombe's INTENTION (OUP '19); Becoming Someone New (OUP '20); Reading Philosophy (Wiley '21).South Bend, Indiana, USAschwenkler.orgGoogle Scholar page3 years on TwitterRecent tweets: 16% new, 63% replies, 14% retweets, 8% quotesOn 37 user lists2,132 followers",239
223,223.,"Chris Bertram@crookedfootballPhilosophy/photography/migration  rights/Rousseau. Author of Do States Have the Right to Exclude Immigrants? Professor emeritus at Bristol.Bristol, UKpolitybooks.com/bookdetail/?is…Google Scholar page12 years on TwitterRecent tweets: 35% new, 41% replies, 20% retweets, 5% quotesOn 180 user lists7,482 followers",237
224,224.,"kristopher g phillips@kristopherGphilPhilosophy  PhD. Associate Prof. Associate Editor of @journalofp4. OG #Twittercartesians. Co-founder of the @theIowaLyceum and #UtahLyceum programs. he/himUtah7 years on TwitterRecent tweets: 18% new, 53% replies, 21% retweets, 9% quotesOn 20 user lists1,792 followers",237
225,225.,"Matt Jope@MattjopePhilosopher interested in epistemic closure, trust & risk. Postdoc at the University of Edinburgh.Edinburgh // Barcelonamattjope.weebly.comGoogle Scholar page11 years on TwitterRecent tweets: 21% new, 48% replies, 26% retweets, 6% quotesOn 24 user lists1,526 followers",237
226,226.,"Kevin Dorst@kevin_dorstPhilosopher at Pitt, trying to convince everyone that their opponents are more reasonable than they think. Blog: kevindorst.com/stranger_apolo…Pittsburgh, PAkevindorst.comGoogle Scholar page2 years on TwitterRecent tweets: 16% new, 60% replies, 13% retweets, 10% quotesOn 39 user lists2,989 followers",236
227,227.,"Justin Skirry@JustinSkirryChair  of Philosophy & Religion Dept at Nebraska Wesleyan Univ. Former Descartes scholar. Currently obsessed with Egyptian & Native American philosophies. he/himLincoln, NEnebrwesleyan.academia.edu/JustinSkirryGoogle Scholar page2 years on TwitterRecent tweets: 10% new, 51% replies, 25% retweets, 13% quotesOn 26 user lists2,918 followers",236
228,228.,"Jenny Judge@judge_jenPhilosophy,  music, various things in between. Formerly Cambridge (music PhD), now NYU (philosophy PhD underway). Words @ Aeon, OneZero, the Guardian &c.New York / Irelandjennyjudge.net10 years on TwitterRecent tweets: 11% new, 87% replies, 1% retweets, 0% quotesOn 87 user lists2,862 followers",235
229,229.,"Grant Maxwell@grantmaxwellPhilosopher.  Writer of books, including Integration and Difference: Constructing a Mythical Dialectic (Routledge, June 2022). He/him.St. Thomas, US Virgin Islandsgrantmaxwellphilosophy.com9 years on TwitterRecent tweets: 23% new, 63% replies, 13% retweets, 0% quotesOn 555 user lists25,623 followers",234
230,230.,"Quantified Modal Schopenhauer@tim_elmoPhD  student in philosophy @ Cincinnati. Cogsci/mind/bio by day, continental  by night. Publications mostly on Jakob von Uexküll and Max Stirner. He/himin the thick of itGoogle Scholar page2 years on TwitterRecent tweets: 14% new, 42% replies, 41% retweets, 4% quotesOn 38 user lists3,299 followers",234
231,231.,"Liam Shields@PhilosopherLiamSenior  Lecturer in Political Theory @UoMPolitics. Former post-doc @stanfordethics. Working on equality in education, parents' rights, and sufficientarianism.Manchester, Englandliamshields.comGoogle Scholar page12 years on TwitterRecent tweets: 2% new, 20% replies, 77% retweets, 0% quotesOn 67 user lists2,789 followers",234
232,232.,"Brett Karlan@brettkarlanAcademic philosopher (now: @ Pitt HPS, soon: @ Stanford). @kkdubstep3 wife guy, @wileyprof postdoc guy.Pittsburgh PA & Covington KYbrettkarlan.comGoogle Scholar page12 years on TwitterRecent tweets: 18% new, 66% replies, 13% retweets, 2% quotesOn 28 user lists2,593 followers",234
233,233.,"R.D. Ingthorsson@RIngthorssPhilosopher  of Time, Truth, Powers, Process and Causation. Use Metaphysics to understand Science, and vice versa. Associate Professor at University of  HelsinkiHelsinki, Finlandhelsinki.academia.edu/R%C3%B6gnvaldu…Google Scholar page7 years on TwitterRecent tweets: 11% new, 75% replies, 7% retweets, 8% quotesOn 45 user lists2,064 followers",234
234,234.,"Colleen Murphy@drcolleenmurphyRoger & Stephany Joslin Prof @UIllinoisLaw | Acting Exec Director @IGIAtillinois | @HRIatIllinois-@MellonFdn Legal Humanities Fellow | Tweets mineChampaign, ILdrcolleenmurphy.comGoogle Scholar page6 years on TwitterRecent tweets: 32% new, 21% replies, 39% retweets, 6% quotesOn 128 user lists5,003 followers",233
235,235.,"Eros Carvalho@filosofemasProf.  at UFRGS/CNPq | Interested in philosophy of cognitive sciences, ecological psychology, enactivism, know-how, perception and epistemology. Tweets EN/PT.Porto Alegre, Brazilprofessor.ufrgs.br/eroscarvalho/12 years on TwitterRecent tweets: 20% new, 46% replies, 33% retweets, 0% quotesOn 58 user lists2,750 followers",232
236,236.,"Oliver Traldi@olivertraldiI'm a writing fellow at @HdxAcademy and a graduate student in philosophy at @philosophy_nd.olivertraldi.weebly.comPatreon page5 years on TwitterRecent tweets: 2% new, 93% replies, 1% retweets, 4% quotesOn 162 user lists17,470 followers",231
237,237.,"Dr. Janet D. Stemwedel, PhD 🏳️‍🌈@docfreeridePhilosopher, lapsed chemist. Previously: Forbes, Scientific American, ScienceBlogs. Views mine alone. forbes.com/sites/janetste… (she/her)San Francisco Bay Areakeys.mailvelope.com/pks/lookup?op=…13 years on TwitterRecent tweets: 3% new, 9% replies, 89% retweets, 0% quotesOn 723 user lists14,789 followers",231
238,238.,"Alexis Papazoglou@newsphilosophyEditor  @IAI_TV, Podcast: The Philosopher & The News, Words: The Philosopher, The New Republic, The Atlantic, TLS. Formerly lecturer at Cambridge+Royal Holloway6 years on TwitterRecent tweets: 16% new, 17% replies, 63% retweets, 5% quotesOn 53 user lists7,897 followers",231
239,239.,"Cornel West@CornelWest1  of America's most provocative public intellectuals; a champion for racial justice through the traditions of the black Church, progressive politics, & jazz.New York, NYcornelwest.com13 years on TwitterRecent tweets: 64% new, 3% replies, 5% retweets, 28% quotesOn 10,849 user lists1,055,548 followers",230
240,240.,"Atticist@AtticistM.a.d.  moore • U of Chicago • Classics PhD on Cicero/Plato • U.S.M.C. 'For in my nature I quested for beauty, but God, God hath sent me to sea for pearls'Chicago, IL10 years on TwitterRecent tweets: 42% new, 50% replies, 3% retweets, 6% quotesOn 236 user lists16,661 followers (follows 0.93 accounts per follower)",230
241,241.,"Mark Jago 💙@Mark_JagoAcademic philosopher and author. Writing about reality, truth & how we reason about them. Occasional musician. He/himNottingham, UKmarkjago.netGoogle Scholar page10 years on TwitterRecent tweets: 14% new, 34% replies, 43% retweets, 8% quotesOn 66 user lists2,781 followers",230
242,242.,"Daniel D. Hutto@phlqddhProfessional philosopher, advancing new ways of thinking about mind and the role of narrative practices in our lives.Cordeaux Heights, NSW, AUuowblogs.com/sola/Google Scholar page9 years on TwitterRecent tweets: 33% new, 11% replies, 55% retweets, 0% quotesOn 68 user lists2,721 followers",230
243,243.,"Christine James@cajames4Philosophy Professor, Theorist and Occasional PolymathSoutheast by way of Chicagomypages.valdosta.edu/chjames/Google Scholar page11 years on Twitter until last tweet (2020-Dec-29)Recent tweets: 64% new, 2% replies, 34% retweets, 1% quotesOn 107 user lists2,404 followers",230
244,244.,"dPhilosopher@tPhilosophiaPhenomenology, Existentialism, Feminist Philosophy, Poststructuralism & Critical Theory. #publicphilosophy or bustOakland, CA12 years on TwitterRecent tweets: 29% new, 19% replies, 42% retweets, 11% quotesOn 247 user lists8,895 followers",229
245,245.,"Jessie Munton (she / her)@alabalawhiskeyPhilosopher working mainly on perception and bias. Lecturer at Cambridge University.jessiemunton.wixsite.com/philosophy10 years on TwitterRecent tweets: 28% new, 49% replies, 19% retweets, 6% quotesOn 27 user lists1,617 followers",229
246,246.,"David L. Smith@DavidLSmith_IamProfessor  of philosophy, author of books on dehumanization, winner of 2012 Anisfield-Wolf award. Interests in dehumanization, race, ideology, psychoanalysis.New Hampshire, USAdavidlivingstonesmith.comGoogle Scholar page11 years on TwitterRecent tweets: 30% new, 54% replies, 15% retweets, 0% quotesOn 81 user lists3,501 followers",228
247,247.,"Nick Byrd@byrd_nickUS  Intelligence Community Postdoc, Asst Prof @FollowStevens. Co-Managing Editor @PhilOfBrains. Writer @PsychToday. Reasoning, well-being, tech. Not @ActuallyNPHHoboken, NJ, USAfaculty.stevens.edu/nbyrdGoogle Scholar pagePatreon page10 years on TwitterRecent tweets: 36% new, 45% replies, 9% retweets, 10% quotesOn 187 user lists3,494 followers",228
248,248.,"Heather Widdows@ProfWiddowsPro-Vice-Chancellor (Research), occasional philosopher, University of Birmingham. Co-lead of beautydemands.blogspot.com and everydaylookism.bham.ac.ukbirmingham.ac.uk/staff/profiles…Google Scholar page8 years on TwitterRecent tweets: 8% new, 10% replies, 76% retweets, 6% quotesOn 42 user lists3,086 followers",228
249,249.,"Kieran Setiya@KieranSetiyaMIT philosopher; would-be self-help guru; master of the semi-colon. old book: bit.ly/-midlife; new book: bit.ly/-life-is-hard podcast: anchor.fm/kieran-setiyaBrookline, MAksetiya.net5 years on TwitterRecent tweets: 68% new, 19% replies, 11% retweets, 1% quotesOn 68 user lists3,503 followers",227
250,250.,"Amanda Bryant@amandakbryantPhilosopher  interested in metametaphysics, epistemology of metaphysics, metaphysics  of science and scientific metaphysics, naturalism and scientism.Torontoamandakbryant.comGoogle Scholar page7 years on TwitterRecent tweets: 16% new, 65% replies, 19% retweets, 1% quotesOn 58 user lists2,551 followers",227
251,251.,"Carol Hay@DrCarolHayFeminist, philosopher at @UMassLowell, author of THINK LIKE A FEMINIST (@wwnorton). She/her. 🏳️‍🌈 https://t.co/cfc4cEDzO4…Bostoncarolhay.org8 years on TwitterRecent tweets: 44% new, 30% replies, 21% retweets, 4% quotesOn 30 user lists2,150 followers",227
252,252.,"Shannon Vallor@ShannonVallorDirector, @CentreTMFutures at @UoE_EFI, philosopher @UoE_Philosophy and tech/AI ethicist. She/her. All views my own.Edinburghed.ac.uk/profile/shanno…Google Scholar page11 years on TwitterRecent tweets: 17% new, 40% replies, 28% retweets, 15% quotesOn 445 user lists14,898 followers",226
253,253.,"Dave O'Hara@DavohPeirce,  Plato, Philology, Perennialism. Peripatetic piscator. Professor of Philosophy, Classics, Environment. I study fish and forests.Sioux Falls, SDslowperc.blogspot.com13 years on TwitterRecent tweets: 36% new, 47% replies, 11% retweets, 6% quotesOn 150 user lists4,580 followers",226
254,254.,"Jonathan Tallant@jonathantallantPhilosopher. Head of School @UoNHumanitiesjonathantallant.comGoogle Scholar page12 years on TwitterRecent tweets: 22% new, 54% replies, 21% retweets, 2% quotesOn 83 user lists2,502 followers",226
255,255.,"Jeremy Waldron@JeremyJWaldronLegal philosopher at NYU; New Zealander by originManhattan, NYits.law.nyu.edu/facultyprofile…9 years on TwitterRecent tweets: 3% new, 9% replies, 82% retweets, 6% quotesOn 157 user lists15,012 followers",225
256,256.,"Haixin Dang@haicinnamon'hi-SIN'; Assistant Professor @unomaha; philosophy of science, social epistemology, research ethics (she/her)Omaha, NEhaixindang.comGoogle Scholar page12 years on TwitterRecent tweets: 9% new, 47% replies, 41% retweets, 2% quotesOn 25 user lists1,448 followers",225
257,257.,"Jonathan Webber@jonathanwebberPhilosopher and Southvillainwe passed upon the stairsGoogle Scholar page12 years on TwitterRecent tweets: 14% new, 65% replies, 20% retweets, 1% quotesOn 128 user lists2,760 followers",224
258,258.,"Donatella Donati@donatelladoPhilosophy research fellow @univaq. Formerly PhD student and teaching assistant @UniofNottingham.L'Aquila10 years on TwitterRecent tweets: 21% new, 22% replies, 56% retweets, 1% quotesOn 67 user lists2,262 followers",224
259,259.,"Jenny Saul@JennySaul1Professor of Social and Political Philosophy of Language at the University of Waterloo. American and British, living in Canada.Waterloo, Ontariouwaterloo.ca/scholar/j3saul9 years on TwitterRecent tweets: 10% new, 65% replies, 23% retweets, 4% quotesOn 18 user lists1,293 followers",224
260,260.,"David Webster@davidwebsterProfessor  of Philosophy & Pedagogy and Director of Foundation College @SOAS. National Teaching Fellow, SFHEA. Also: pedagogy/ conspiracy theory/ Buddhism/ #SAFCLondon, Englanddavewebster.org13 years on TwitterRecent tweets: 18% new, 15% replies, 59% retweets, 8% quotesOn 221 user lists5,715 followers",223
261,261.,"Christian Miller@CharacterGapA. C. Reid Professor of Philosophy @WakeForest. Author: The Character Gap / Moral Psychology / Honesty. Contributor @Forbes. Director, The Honesty ProjectWinston-Salem, NCchristianbmiller.comGoogle Scholar page4 years on TwitterRecent tweets: 12% new, 37% replies, 43% retweets, 7% quotesOn 49 user lists3,617 followers",223
262,262.,"S. Matthew Liao@smatthewliaoAuthor of The Right to Be Loved (amzn.to/1HMIfGz); Arthur Zitrin Professor of Bioethics, Director, Center for Bioethics, New York UniversityNew Yorksmatthewliao.comGoogle Scholar page12 years on TwitterRecent tweets: 29% new, 51% replies, 18% retweets, 3% quotesOn 81 user lists2,643 followers",223
263,263.,"A. J. Cotnoir@ajcotnoir#Philosopher at University of St Andrews, writing about logic & metaphysics.he/himcotnoir.orgGoogle Scholar page12 years on TwitterRecent tweets: 24% new, 47% replies, 21% retweets, 9% quotesOn 30 user lists2,058 followers",223
264,264.,"Harvey Lederman@LedermanHarveyphilosophy prof @Princeton. logic, formal epistemology, philosophy of language, wang yangmingharveylederman.comGoogle Scholar page2 years on TwitterRecent tweets: 6% new, 89% replies, 3% retweets, 2% quotesOn 22 user lists1,615 followers",223
265,265.,"Alexandra Gustafson@alexxgussPhilosophy  PhD Candidate @UofT. Phenomenology of love. All about mental health. Why it can be sublime to love someone who doesn't love you back: psyche.coToronto, Ontarioalexandragustafson.orgUnder 1 year on TwitterRecent tweets: 40% new, 53% replies, 5% retweets, 2% quotesOn 32 user lists3,794 followers",222
266,266.,"Taylor Cyr@taylorwcyrAssistant  Professor of Philosophy @SamfordU and co-host of the podcast @thefreewillshow —Research: free will, moral responsibility, death, and time travelBirmingham, ALtaylorwcyr.comGoogle Scholar page10 years on TwitterRecent tweets: 28% new, 39% replies, 29% retweets, 3% quotesOn 19 user lists1,578 followers",222
267,267.,"Joe Slater@JoeSlater87Lecturer in moral & political philosophy at #UofGlasgow. Into board games, lefty politics & Buffy the Vampire Slayer. (he/him)St Andrews, Scotlandjoeslater.wordpress.com10 years on TwitterRecent tweets: 20% new, 62% replies, 16% retweets, 2% quotesOn 21 user lists1,535 followers",222
268,268.,"Kate Kirkpatrick@philosofemmePhilosopher @PhilFacOx | Fellow @RegentsOx | Author of #BecomingBeauvoirkatekirkpatrick.co.uk7 years on TwitterRecent tweets: 15% new, 46% replies, 30% retweets, 9% quotesOn 87 user lists4,883 followers",221
269,269.,"Lauren Leydon-Hardy@leydonhardyAssistant  Professor of Philosophy at Amherst College, Social/Applied Epistemology, formerly @NUPrisonEd, Exec Producer @realDailyAnt She/Herleydonhardy.net7 years on TwitterRecent tweets: 8% new, 57% replies, 22% retweets, 13% quotesOn 13 user lists1,030 followers",221
270,270.,"Cheryl Misak@MisakCherylPhilosopher, University of Toronto.Google Scholar page3 years on TwitterRecent tweets: 20% new, 47% replies, 13% retweets, 20% quotesOn 30 user lists2,079 followers",220
271,271.,"Colin Allen@wileyprofProf.  at Pitt History & Philosophy of Science. Anything tweeted is only official by accident. Too many photos of Pittsburgh. he/him. #blacklivesmatterPittsburgh, PAcolinallen.dnsalias.orgGoogle Scholar page7 years on TwitterRecent tweets: 19% new, 51% replies, 23% retweets, 7% quotesOn 25 user lists1,550 followers",220
272,272.,"Elizabeth Hannon@El_DritchThey  poison philosophers, don't they? /An Irish abroad /Deputy Editor @theBJPS /Research Associate @LSEPhilosophy /Tweets representA love supremebit.ly/BethHannon10 years on TwitterRecent tweets: 8% new, 57% replies, 17% retweets, 19% quotesOn 14 user lists1,169 followers",220
273,273.,"ericlinuskaplan@ericlinuskaplanCurrent writer at @warnerbrostv @youngsheldon Past: Big Bang Theory, Futurama, F of the C, MITM. PhD. UC Berkeley - Kierkegaard. Author of 'Does Santa Exist?'Pronouns he himericlinuskaplan.wordpress.com14 years on TwitterRecent tweets: 12% new, 69% replies, 18% retweets, 1% quotesOn 115 user lists6,186 followers",219
274,274.,"Mark Coeckelbergh@MCoeckelberghphilosopher  of technology, Professor of Philosophy of Media and Technology, University of Vienna #philosophy #ethics #technology #AI #robots #art #environmentWien, Österreichcoeckelbergh.wordpress.comGoogle Scholar page7 years on TwitterRecent tweets: 25% new, 46% replies, 17% retweets, 12% quotesOn 209 user lists8,925 followers",218
275,275.,"ᗪᗴᒪᑌᗴᔕ ᑕᒪᑌᗴᔕ@vernon_w_cisneyAssoc  Prof of Interdisciplinary Studies. Jewish Studies. Philosophy. Film. Lit. 1st-gen. Singer-Guitar. Pats fan. Tattoo enthusiast. Opinions my own. He/him.Gettysburg, PAvernonwcisney.com/index.htmlGoogle Scholar page3 years on TwitterRecent tweets: 35% new, 44% replies, 6% retweets, 15% quotesOn 31 user lists7,311 followers",218
276,276.,"Tuomas Tahko@ttahkoProfessor  of Metaphysics of Science @PhilATBristol. PI of ERC Project @MetaScienceEU. I also run, hike, take photos, drink craft beer and eat my veggies.Bristol, Englandttahko.netGoogle Scholar page11 years on TwitterRecent tweets: 20% new, 39% replies, 31% retweets, 8% quotesOn 93 user lists2,304 followers",218
277,277.,"Elly Vintiadis@EllyVintiadisA  philosopher corrupting the youth at Deree - The American College of Greece as well as a treat searchin' street urchin with very strong views  about burgers.ellyvintiadis.com13 years on TwitterRecent tweets: 22% new, 67% replies, 2% retweets, 10% quotesOn 30 user lists2,154 followers",218
278,278.,"Giada Fratantonio@GiadaFra_tantoPhilosopher  at @UoE_Philosophy. Interested in whatever deals with evidence. Postdoc  at @ahrcpress Varieties of Risk Project @VarietiesP. She/herIn between Italy and Scotlandgiada-fratantonio.weebly.comGoogle Scholar page8 years on TwitterRecent tweets: 10% new, 67% replies, 12% retweets, 12% quotesOn 33 user lists1,662 followers",218
279,279.,"Becky Morris@beckyphilmathScience  & tech writer. Former academic philosopher. Ph.D. @CarnegieMellon. Passions: math, philosophy, education, tech, cute critters. Parent. She/they.Roseville, MNrebeccaleamorris.com7 years on TwitterRecent tweets: 12% new, 21% replies, 54% retweets, 13% quotesOn 27 user lists1,601 followers",218
280,280.,"Simone Webb@SimoneWebbUCLrecent PhD in Mary Astell and the late Foucault. Philosopher Queens contributor. founder of The Philosophy Project (thephilosophyproject.co.uk)they/themsimonewebb.co.uk5 years on TwitterRecent tweets: 27% new, 65% replies, 7% retweets, 0% quotesOn 44 user lists3,942 followers",217
281,281.,"Kristina Musholt 🇺🇦@kristinamusholtPhilosophy Prof @UniLeipzig. Author of 'Thinking about Oneself' w/ MIT Press. Researches #mind #self #childhood. 🇺🇦Berlinkristinamusholt.comGoogle Scholar page11 years on TwitterRecent tweets: 2% new, 16% replies, 78% retweets, 4% quotesOn 56 user lists1,767 followers",217
282,282.,"Dr. Lynne Tirrell@LynneTirrell#Philosopher at #UConn (UConn Humanities Institute 2018-19), Language & Politics, Genocide, Human Rights, Feminism, ArtConnecticut, USAlynne-tirrell.uconn.eduGoogle Scholar page10 years on TwitterRecent tweets: 26% new, 48% replies, 13% retweets, 13% quotesOn 31 user lists1,687 followers",217
283,283.,"Ema Sullivan-Bissett@Ema_SBReader in Philosophy @PTRBirmingham @unibirmingham. PI on AHRC @del_by_ex project and British Academy @Cons_Path project.Birminghamemasullivan-bissett.comGoogle Scholar page12 years on TwitterRecent tweets: 5% new, 65% replies, 9% retweets, 20% quotesOn 30 user lists1,505 followers",217
284,284.,"Rochelle d@rochellehdjust  like the other continentals, critical theory, political phil, wrote Solidarity in Conflict for stanford up, have three cats, and like to post my bakes.Tweets my ownRhduford.wordpress.com10 years on TwitterRecent tweets: 12% new, 74% replies, 0% retweets, 15% quotesOn 33 user lists4,924 followers",216
285,285.,"Megan Fritts@freganmittsAsst  Prof of Philosophy at the College of St. Scholastica. Action Theory, Tech Ethics, 19th/20th C. Phil. Cropped out of @frankviii’s profile picture.Duluth, Minnesotasites.google.com/view/meganjfri…4 years on TwitterRecent tweets: 8% new, 85% replies, 3% retweets, 4% quotesOn 42 user lists3,162 followers",216
286,286.,"carlotta pavese@cpavese19Philosopher at CornellGoogle Scholar page6 years on TwitterRecent tweets: 34% new, 48% replies, 15% retweets, 3% quotesOn 14 user lists1,340 followers",216
287,287.,"Anna Ciaunica@AnnaCiaunicaPhilosopher/Cognitive  scientist |PI working on Self-Consciousness & Social Interactions in Human & Artificial Agents | Embodiment |AI|Art&Science| RT≠endorsEurope5 years on TwitterRecent tweets: 12% new, 29% replies, 56% retweets, 3% quotesOn 80 user lists6,700 followers",215
288,288.,"Paul Kelleher@kelleher_Moral  philosophy, climate econ, health policy | Associate Prof, UW-Madison. |  Fan: @smart_MS3, @Celtics, @RedSox | Tweets are my views/humor onlyMadison, WIpaulkelleher.net12 years on TwitterRecent tweets: 8% new, 65% replies, 15% retweets, 14% quotesOn 173 user lists3,853 followers",215
289,289.,"Alessandra Tanesini@Ale1808is Professor of Philosophy at Cardiff University, a wine buff, a gourmet and a sailorCardiff13 years on TwitterRecent tweets: 6% new, 35% replies, 39% retweets, 20% quotesOn 31 user lists1,425 followers",215
290,290.,"Karl Schafer@schafer_karlProfessor of Philosophy @UTAustin, ex @PittTweet, @Princeton, @HumboldtUni, @UCIrvine, etc.Austin, TXphilpeople.org/profiles/karl-…7 years on TwitterRecent tweets: 12% new, 81% replies, 3% retweets, 4% quotesOn 17 user lists1,346 followers",215
291,291.,"Morgan Thompson@MorganKThompPhilosopher  of science. Post-doc at Bielefeld University. Works on values in science, demographics of philosophy, robustness in science. She/her.Google Scholar page4 years on TwitterRecent tweets: 16% new, 48% replies, 31% retweets, 5% quotesOn 23 user lists1,097 followers",215
292,292.,"Evan Washington@evanewashingtonphd  student in philosophy @ucberkeley丨@princeton '18丨RVA丨logic, category theory, epistemology, and philosophy of (mathematics, language, science)丨he/himBerkeley, CA11 years on TwitterRecent tweets: 14% new, 65% replies, 11% retweets, 8% quotesOn 42 user lists5,753 followers",214
293,293.,"David V. Johnson@contrarianpDeputy  editor @SSIReview and coeditor @TheRavenMag1. Formerly @ajam, @bostonreview, @sanfranmag, @harpers. Philosophy Ph.D. @Stanford 🌹Berkeley, CAravenmagazine.org13 years on TwitterRecent tweets: 10% new, 60% replies, 23% retweets, 8% quotesOn 165 user lists5,192 followers",214
294,294.,"Seth Goldwasser@goldwasser_seth(he/him)  Raised in RI and SC, did undergrad in SC and AL, doing a PhD in Philosophy at UPitt. Culturally Jewish, philosophically listless, politically hopeless.Pittsburgh, PA2 years on TwitterRecent tweets: 17% new, 63% replies, 14% retweets, 6% quotesOn 16 user lists1,338 followers",214
295,295.,"Richard Ashcroft@ashcroftethicsHumble administrator. Bioethicist. Utopia, music, book. NUFC, Surrey CCC.London10 years on TwitterRecent tweets: 21% new, 23% replies, 49% retweets, 7% quotesOn 300 user lists8,865 followers",213
296,296.,"Michael Lynch@Plural_truthPhilosopher  @UCONN; Director @UCHI_UCONN; founder @NEhumanities; #TED talker; know-it-all. Knowledge, truth, the ethics of technology and other simple ideas.Storrs, CTamazon.com/author/mplynchGoogle Scholar page9 years on TwitterRecent tweets: 6% new, 14% replies, 68% retweets, 12% quotesOn 79 user lists3,003 followers",213
297,297.,"John Protevi@JohnProteviPhyllis M Taylor Professor of French Studies Professor of Philosophy LSU Opinions are not those of my employer Edges of the State (Minnesota, 2019)protevi.com/johnGoogle Scholar page11 years on TwitterRecent tweets: 8% new, 83% replies, 7% retweets, 2% quotesOn 94 user lists2,927 followers",213
